1,0016f6bc,21.92,no
2,00f467dd,10.89,no
3,0192bf21,192.05,no
4,02d99e62,8.77,no
5,034d4002,17.82,no
6,035e5eec,55.55,no
7,04b1f844,101.46,no
8,04e246af,62.52,no
9,052261d8,8.39,no
10,057be7c4,237.07,no
11,061f791c,36.89,no
12,0679e8f9,4.28,no
13,06bcb84d,124.2,no
14,06d72656,192.06,no
15,07b3cda9,87.05,no
16,07cf9bcc,27.46,no
17,08461b81,10.2,no
18,09005d6b,126.68,no
19,09a166d6,50.2,no
20,0a359406,7.35,no
21,0a3c09fc,12.97,no
22,0b6c65d0,33.25,no
23,0fa44ac7,76.43,no
24,102e2ae2,82.92,no
25,10e095ff,22.19,no
26,113c5e1c,105.11,no
27,1256786d,37.74,no
28,130557d0,72.81,no
29,13f505db,77.3,no
30,13f80119,16.49,no
31,1498e849,16.27,no
32,14c8fbdb,35.86,no
33,14fdd75d,87.12,no
34,153a1d0c,38.33,no
35,1584a81e,70.29,no
36,164f4df6,148.3,no
37,16579d18,32.67,no
38,16e7c489,28.34,no
39,170a466b,114.38,no
40,174632c7,44.15,no
41,18f4e74c,126.07,no
42,1ab9b691,9.19,no
43,1bb2a01c,45.16,no
44,1cb21936,204.94,no
45,1cbc11df,9.61,no
46,1d9c4dd6,13.62,no
47,1df607ee,18.27,no
48,1e0bad88,8.82,no
49,1ff88905,81.87,no
50,21aeaffe,54.72,no
51,21d4353e,444.02,no
52,2221735f,75.71,no
53,225e1158,301.33,no
54,236f1ec1,41.91,no
55,2380c5ad,137.22,no
56,239c66b5,43.69,no
57,23f819fd,7.26,no
58,255b370e,18.65,no
59,25733230,1021.08,no
60,267cf3cf,61.27,no
61,26b61ff5,19.53,no
62,27a9f245,54.99,no
63,27e120de,68.76,no
64,2856777c,111.38,no
65,28d0f318,16.04,no
66,28f35bed,202.34,no
67,2906e315,129.11,no
68,29ad5232,8.01,no
69,2a03ddeb,70.11,no
70,2a3c2c62,36.8,no
71,2cc5006c,8.62,no
72,2ee13ac0,7.16,no
73,315fdf3e,33.29,no
74,322bff7a,78.43,no
